Province,Model,R2,MSE,MAE,MAEP
Province du Brabant wallon,GradientBoostingRegressor,0.690918820444453,259859.30335146093,389.2808388831833,0.848790578560999
Province du Brabant flamand,GradientBoostingRegressor,0.631663741288796,259103.8363669909,386.15597769371266,0.8552919690936893
Province d'Anvers,GradientBoostingRegressor,0.5050373475037,342904.96897049726,432.06708239917805,0.8319800686770242
Province du Brabant flamand 2,GradientBoostingRegressor,0.8854301114900235,299912.7701323486,407.2811712631638,0.8503764281123783
Province de Limbourg,GradientBoostingRegressor,0.6304548519428389,213268.9913486474,357.8836077134027,0.8314973227770835
Province de Liège,GradientBoostingRegressor,0.3613578212852082,326670.87085794704,444.8783059180242,0.7595674365736301
Province de Namur,GradientBoostingRegressor,0.5029736571953717,282136.80337084446,402.5339920769986,0.783493512951583
Province du Hainaut 1,GradientBoostingRegressor,0.45418903705561964,157958.82402858126,322.3103430656011,0.7725431784920286
Province de Luxembourg,GradientBoostingRegressor,0.5073524203772053,309599.208405223,422.1473188597487,0.7809952551884742
Province du Hainaut 2,GradientBoostingRegressor,0.4299073479256499,192600.90987241355,350.9004059417141,0.7706840691368749
Province de Flandre-Occidentale,GradientBoostingRegressor,0.6257055781912971,551938.597313751,546.0470988592285,0.7939781599479685
Province de Flandre-Orientale,GradientBoostingRegressor,0.6068847549225049,322647.5144867538,438.023371362065,0.818645700921085
Region Wallone,GradientBoostingRegressor,0.4775323673032571,324370.5715659357,440.90798804663245,0.7558027681679719
Region Flamande,GradientBoostingRegressor,0.6019423707629392,396230.16874503065,469.32423978170516,0.8143382888076033
Belgique,GradientBoostingRegressor,0.6011479499957204,415062.7359997824,485.9692838798068,0.7887018036110588
Bruxelles-Capitale,SVR,-0.012475214047884542,886889.9796730829,728.9855716520245,0.7845331524663949
Province du Brabant wallon,SVR,-0.027355407848862923,863746.7378695018,697.8103965774653,0.7289475982344411
Province du Brabant flamand,SVR,0.08098851676210983,646472.8772709686,623.352249302079,0.7664050752334315
Province d'Anvers,SVR,0.24430123092260259,523540.2341057743,537.0629196594125,0.7911498502125581
Province du Brabant flamand 2,SVR,-0.044515750692102785,2734257.808147031,975.4381841193691,0.6416516265388286
Province de Limbourg,SVR,0.07754035337461718,532362.6610440429,555.9998283233808,0.7382180754056844
Province de Liège,SVR,0.0032880812044677743,509826.5685530905,566.4002794148888,0.6938914096426465
Province de Namur,SVR,-0.013426872432872106,575271.3560913106,594.1804376212649,0.6804147680584861
Province du Hainaut 1,SVR,-0.006461998368797017,291272.1885140873,417.7619803899412,0.7051822436023062
Province de Luxembourg,SVR,0.013095307980272475,620209.9108142467,655.3714469095677,0.6600014969303275
Province du Hainaut 2,SVR,0.0010671671499957736,337480.88456899923,475.40241321478686,0.6893211148378293
Province de Flandre-Occidentale,SVR,0.1426230014358283,1264297.3829795392,837.2976435216048,0.6840902523794525
Province de Flandre-Orientale,SVR,0.06960303169894055,763618.9973990227,686.8441659466864,0.7156267212309508
Region Wallone,SVR,-0.014424053065005937,629798.4589103147,627.7902535077019,0.6522978802064847
Region Flamande,SVR,0.2916119922680753,705135.837689011,587.1165545584756,0.7677403915054295
Belgique,SVR,0.04632499326219974,992435.559869769,741.7215380259046,0.6775013804237322
Bruxelles-Capitale,XGBoostSE,0.158254106121143,737337.5548893324,625.895488456118,0.8150035706776377
Province du Brabant wallon,XGBoostSE,0.7025199030340905,250105.7193765292,341.6252404693392,0.8673015730532019
Province du Brabant flamand,XGBoostSE,0.5948623324608422,284991.55712626915,378.71725878701466,0.8580795534576109
Province d'Anvers,XGBoostSE,0.4345188519937627,391759.4479755812,438.6597168647114,0.8294163603195497
Province du Brabant flamand 2,XGBoostSE,0.8649677265274791,353477.72194860876,415.5245558598024,0.8473480419879545
Province de Limbourg,XGBoostSE,0.5813067786069037,241632.9411452848,354.9703368092345,0.8328689808699601
Province de Liège,XGBoostSE,0.3241672083538437,345694.1836282977,422.3074720939592,0.7717657464547835
Province de Namur,XGBoostSE,0.35437880992266824,366486.60859510995,432.7793200296298,0.7672257943649776
Province du Hainaut 1,XGBoostSE,0.4441544080716233,160862.8664562463,297.0170977612042,0.7903928110165069
Province de Luxembourg,XGBoostSE,0.4666208069831972,335196.56397024565,431.8646031543447,0.7759540497321722
Province du Hainaut 2,XGBoostSE,0.27087600978840676,246328.28262842278,370.35643479655624,0.7579694148013395
Province de Flandre-Occidentale,XGBoostSE,0.5971073806931322,594109.8082459461,505.43631430925257,0.8093004802687283
