Model,R2,MSE,MAE,MAEP
KNeighborsRegressorK118,0.41392924989600755,462777.1108990955,498.2056263678745,0.7753069199683815
KNeighborsRegressorK119,0.41350668258968,463367.9938903243,498.3292356422649,0.775247949999948
KNeighborsRegressorK12,0.4495668923162472,410275.457943468,480.80536050812304,0.7830117411002043
KNeighborsRegressorK120,0.4131616580059505,463975.96403720847,498.3730432532435,0.7752256234787908
KNeighborsRegressorK121,0.4128456728528516,464411.2472413802,498.51430973424834,0.7751575259186472
KNeighborsRegressorK122,0.41236950824200064,464859.26296383137,498.6920075116225,0.7750706716351403
KNeighborsRegressorK123,0.4120271148661863,465299.82173547224,498.8013718018086,0.7750288419156474
KNeighborsRegressorK124,0.4113631814680869,466018.49168497045,499.0687651009222,0.7749214983446638
KNeighborsRegressorK125,0.41093168754008447,466394.3492270475,499.2614175907194,0.774836187468999
KNeighborsRegressorK126,0.4105316219787607,466539.707348476,499.44520836126634,0.7747555478384625
KNeighborsRegressorK127,0.4101139638724397,467061.8382569321,499.61413267318073,0.7746783906958048
KNeighborsRegressorK128,0.4099336472123437,467324.6059384598,499.64579316623775,0.7746716945812636
KNeighborsRegressorK129,0.4097811372656789,467620.9714144958,499.7188378440273,0.7746380981659892
KNeighborsRegressorK13,0.45330817704423687,408156.819710132,479.2626733985246,0.7836264378142174
KNeighborsRegressorK130,0.40946726739451367,468096.57221162657,499.8222838304387,0.774586938372865
KNeighborsRegressorK131,0.40914852990153916,468474.82105757785,499.9643089044792,0.7745104025696773
KNeighborsRegressorK132,0.40872170183399315,469146.32518835366,500.1062309595476,0.7744480084361605
KNeighborsRegressorK133,0.40842123369781347,469493.061292782,500.2872772289268,0.7743672710845566
KNeighborsRegressorK134,0.40849430263009084,469452.6328760181,500.2957179000816,0.7743728922730579
KNeighborsRegressorK135,0.4082631525657206,469867.7397887083,500.459811247602,0.7743047505763698
KNeighborsRegressorK136,0.4080283043278916,470206.6602200941,500.50703021095376,0.7742783335268986
KNeighborsRegressorK137,0.40787489020733636,470564.13401031034,500.5816718970079,0.7742454749165134
KNeighborsRegressorK138,0.40775097148099254,470921.4150669533,500.6692026419189,0.7742032564787299
KNeighborsRegressorK139,0.40767240620848816,471215.7491618855,500.7275637324259,0.774187551348471
KNeighborsRegressorK14,0.4545771569679769,406991.4035238784,479.30215846399267,0.7835930420785788
KNeighborsRegressorK140,0.4073933675900482,471593.15415863425,500.79839556259503,0.7741573653046483
KNeighborsRegressorK141,0.4070521723548712,471960.02379503177,500.925919484274,0.774090678958328
KNeighborsRegressorK142,0.40670888311333464,472253.13158285146,501.0632089650849,0.7740241775965442
KNeighborsRegressorK143,0.40649510943371264,472496.8473637695,501.1747368966712,0.7739791943440837
KNeighborsRegressorK144,0.4063331550714558,472896.18685910373,501.1885189912428,0.7739742608559592
KNeighborsRegressorK145,0.40620620416710634,473115.7341996566,501.2359134296171,0.7739541638533199
KNeighborsRegressorK146,0.40608786231492966,473313.0040104405,501.344357622658,0.7738984564862343
KNeighborsRegressorK147,0.40560243077325203,473901.3771673877,501.6148373861051,0.7737804073895148
KNeighborsRegressorK148,0.4049785908181061,474501.07169125223,501.87025633253864,0.7736642858150298
KNeighborsRegressorK149,0.4045243186462226,474978.86593731784,502.05719978697135,0.7735783942353878
KNeighborsRegressorK15,0.4545075904506517,407925.4982169245,479.3933173782315,0.7835571617875483
KNeighborsRegressorK150,0.4041051849897998,475456.0595106941,502.1279098892055,0.7735508947077533
KNeighborsRegressorK151,0.40371623191400613,475737.69248426287,502.25821158123034,0.7734862686727827
KNeighborsRegressorK152,0.40338780471399405,475974.2396472094,502.41590670819386,0.7734098438359068
KNeighborsRegressorK153,0.4032256359317096,476327.01480425947,502.45717577395465,0.7733954595867967
KNeighborsRegressorK154,0.40305755981944524,476503.37840962235,502.5284266046774,0.7733556834193962
KNeighborsRegressorK155,0.40275869158975597,476863.2844428779,502.7005518148809,0.7732795103006328
KNeighborsRegressorK156,0.40255791186775924,477170.1106686394,502.7761933229201,0.7732413995852196
KNeighborsRegressorK157,0.40255445908398346,477285.1633918906,502.7744731214159,0.7732387505433795
KNeighborsRegressorK158,0.4023631014239543,477580.2057698639,502.88952316559596,0.7731941852288821
